Algorithm,1,5,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500
Insertion Sort,0,0,0,0,1,1,2,2,3,4,5,5,6,7,10,9,8,9,10,11,12,13,15,17,17,19,18,16,16,19,18,19,20,21,22,22,23,22,23,24,25,27,29,26,30,34,30,31,31,33,34,35
Binary Insertion Sort,0,0,0,0,1,1,2,3,3,4,5,6,6,7,8,9,10,11,13,12,13,14,15,16,18,18,19,20,21,22,23,25,27,26,27,28,30,31,32,32,34,36,36,37,40,41,42,42,45,44,46,47
Bubble Sort,0,0,0,0,1,2,3,5,7,9,12,14,17,20,22,26,30,34,37,40,44,49,52,57,61,68,69,77,79,86,87,95,93,102,104,109,123,129,132,136,148,150,152,164,166,171,181,189,198,205,189,197
Quick Sort,0,0,0,0,0,1,1,1,2,2,2,3,4,4,4,4,5,5,6,7,7,7,9,9,9,10,10,11,11,11,13,13,14,14,14,15,15,18,16,17,17,18,18,19,23,21,20,21,22,22,23,23
Selection Sort,0,0,0,0,1,1,2,3,4,5,6,7,8,9,11,13,14,15,17,18,21,23,24,27,31,30,31,34,36,40,39,45,45,46,51,57,56,56,61,62,70,75,77,74,83,85,88,89,94,99,100,104
Heap Sort,0,0,0,0,0,1,1,2,2,3,3,4,4,5,6,6,7,7,8,10,9,10,10,11,12,12,13,13,14,15,15,15,16,17,18,18,20,21,21,22,23,24,24,25,25,26,28,29,28,30,32,32
Radix Sort,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,7,5,6,6,6,6,7,7,7,7,8,8,8,9,9,12,9,10,10,11,10,10,11,11,11,11,11,12,12
