Algorithm,1,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48000,49000,50000
Insertion Sort,0,226,676,1225,2166,3141,4368,5804,7673,9296,11868,14899,17645,20837,24209,27885,31461,36240,40909,46615,50816,57447,62724,69627,80457,81637,88685,95880,103467,110682,119581,130311,136714,146495,156038,169478,176028,186395,194851,207151,218695,231399,244127,252413,265924,278113,291544,303098,317342,333288,344830
Binary Insertion Sort,0,127,355,687,1102,1687,2231,2946,3810,4636,5618,6586,7575,8984,10215,12043,13390,14965,16703,18650,20372,22282,24899,25829,28848,31329,33821,36539,39430,41980,45084,47982,50885,52990,56898,60410,63088,66588,70759,74473,78089,81497,86310,90155,92887,100277,101854,105860,111461,115337,121290
Bubble Sort,0,757,3019,6775,12658,21049,32019,45086,63128,84064,105159,131572,161465,196412,229652,269883,311581,354677,398745,449189,501672,556273,620064,686241,749214,816192,887568,968639,1047736,1122367,1195983,1290244,1372418,1472418,1565025,1665116,1773630,1862722,1984306,2096358,2214202,2328965,2443201,2561800,2690712,2815165,2959010,3085096,3242137,3363963,3518247
Quick Sort,0,51,113,179,251,328,403,477,547,627,703,783,879,935,1010,1093,1180,1233,1318,1388,1467,1561,1582,1697,1744,1758,1881,1976,2073,2189,2248,2358,2444,2489,2517,2600,2698,2779,2777,2927,3061,3163,3237,3293,3255,3483,3591,3609,3668,3746,3849
Selection Sort,0,335,1190,2601,4550,6708,9972,13276,17338,21989,27094,32581,38243,44269,51735,58950,70658,76035,85163,93957,104602,115174,127356,137504,150699,162472,177386,192522,205695,220938,235387,250111,268156,284392,299910,320984,338907,359020,374540,396268,416859,438929,456948,482312,506273,532289,554311,577219,600691,627202,650645
Heap Sort,0,64,142,223,309,409,521,607,717,839,906,1044,1162,1268,1357,1417,1576,1680,1799,1885,1992,2108,2236,2345,2408,2561,2696,2730,2886,2954,3136,3080,3246,3275,3433,3585,3585,3674,3945,3984,4105,4079,4286,4291,4569,4529,4738,4899,4778,4994,5333
Radix Sort,0,22,46,72,101,118,158,167,197,225,248,302,299,336,350,387,420,439,467,512,500,588,569,585,622,648,667,738,690,773,765,838,798,874,874,1169,1166,926,1203,1248,1219,1042,1300,1327,1384,1322,1234,1309,1382,1443,1527
